era_year,year,admin_level,area_code,district_jp,district_en,mark,area_km2,permillage_pct
令和2,2020.0,0.0,13000.0,東京都,Tokyo-to,,2194.03,
令和3,2021.0,0.0,13000.0,東京都,Tokyo-to,,2194.05,
令和4,2022.0,0.0,13000.0,東京都,Tokyo-to,,2194.05,
令和5,2023.0,0.0,13000.0,東京都,Tokyo-to,,2199.93,
令和6,2024.0,0.0,13000.0,東京都,Tokyo-to,,2199.94,1000.0
令和6,2024.0,1.0,13100.0,区部,All ku,,627.51,285.24
令和6,2024.0,3.0,13101.0,千代田区,Chiyoda-ku,,11.66,5.3
令和6,2024.0,3.0,13102.0,中央区,Chuo-ku,,10.21,4.64
令和6,2024.0,3.0,13103.0,港区,Minato-ku,,20.36,9.25
令和6,2024.0,3.0,13104.0,新宿区,Shinjuku-ku,,18.22,8.28
令和6,2024.0,3.0,13105.0,文京区,Bunkyo-ku,,11.29,5.13
令和6,2024.0,3.0,13106.0,台東区,Taito-ku,,10.11,4.6
令和6,2024.0,3.0,13107.0,墨田区,Sumida-ku,,13.77,6.26
令和6,2024.0,3.0,13108.0,江東区,Koto-ku,,42.99,19.54
令和6,2024.0,3.0,13109.0,品川区,Shinagawa-ku,,22.85,10.39
令和6,2024.0,3.0,13110.0,目黒区,Meguro-ku,,14.67,6.67
令和6,2024.0,3.0,13111.0,大田区,Ota-ku,,61.86,28.12
令和6,2024.0,3.0,13112.0,世田谷区,Setagaya-ku,,58.05,26.39
令和6,2024.0,3.0,13113.0,渋谷区,Shibuya-ku,,15.11,6.87
令和6,2024.0,3.0,13114.0,中野区,Nakano-ku,,15.59,7.09
令和6,2024.0,3.0,13115.0,杉並区,Suginami-ku,,34.06,15.48
令和6,2024.0,3.0,13116.0,豊島区,Toshima-ku,,13.01,5.91
令和6,2024.0,3.0,13117.0,北区,Kita-ku,,20.61,9.37
令和6,2024.0,3.0,13118.0,荒川区,Arakawa-ku,,10.16,4.62
令和6,2024.0,3.0,13119.0,板橋区,Itabashi-ku,,32.22,14.65
令和6,2024.0,3.0,13120.0,練馬区,Nerima-ku,,48.08,21.86
令和6,2024.0,3.0,13121.0,足立区,Adachi-ku,,53.25,24.21
令和6,2024.0,3.0,13122.0,葛飾区,Katsushika-ku,,34.8,15.82
令和6,2024.0,3.0,13123.0,江戸川区,Edogawa-ku,,49.9,22.68
令和6,2024.0,3.0,,荒川河口部,Mouth of Arakawa river,1),1.12,0.51
令和6,2024.0,3.0,,中央防波堤外側埋立地,Outer central breakwater landfill site,2),1.2,0.55
令和6,2024.0,3.0,,新海面処分場,Shinkaimen landfill site,2),2.36,1.07
令和6,2024.0,1.0,13200.0,市部,All shi,,783.95,356.35
令和6,2024.0,3.0,13201.0,八王子市,Hachioji-shi,,186.38,84.72
令和6,2024.0,3.0,13202.0,立川市,Tachikawa-shi,,24.36,11.07
令和6,2024.0,3.0,13203.0,武蔵野市,Musashino-shi,,10.98,4.99
令和6,2024.0,3.0,13204.0,三鷹市,Mitaka-shi,,16.42,7.46
令和6,2024.0,3.0,13205.0,青梅市,Ome-shi,,103.31,46.96
令和6,2024.0,3.0,13206.0,府中市,Fuchu-shi,,29.43,13.38
令和6,2024.0,3.0,13207.0,昭島市,Akishima-shi,,17.34,7.88
令和6,2024.0,3.0,13208.0,調布市,Chofu-shi,,21.58,9.81
令和6,2024.0,3.0,13209.0,町田市,Machida-shi,,71.55,32.52
令和6,2024.0,3.0,13210.0,小金井市,Koganei-shi,,11.3,5.14
令和6,2024.0,3.0,13211.0,小平市,Kodaira-shi,,20.51,9.32
令和6,2024.0,3.0,13212.0,日野市,Hino-shi,,27.55,12.52
令和6,2024.0,3.0,13213.0,東村山市,Higashimurayama-shi,,17.14,7.79
令和6,2024.0,3.0,13214.0,国分寺市,Kokubunji-shi,,11.46,5.21
令和6,2024.0,3.0,13215.0,国立市,Kunitachi-shi,,8.15,3.7
令和6,2024.0,3.0,13218.0,福生市,Fussa-shi,,10.16,4.62
令和6,2024.0,3.0,13219.0,狛江市,Komae-shi,,6.39,2.9
令和6,2024.0,3.0,13220.0,東大和市,Higashiyamato-shi,,13.42,6.1
令和6,2024.0,3.0,13221.0,清瀬市,Kiyose-shi,,10.23,4.65
令和6,2024.0,3.0,13222.0,東久留米市,Higashikurume-shi,,12.88,5.85
令和6,2024.0,3.0,13223.0,武蔵村山市,Musashimurayama-shi,,15.32,6.96
令和6,2024.0,3.0,13224.0,多摩市,Tama-shi,,21.01,9.55
令和6,2024.0,3.0,13225.0,稲城市,Inagi-shi,,17.97,8.17
令和6,2024.0,3.0,13227.0,羽村市,Hamura-shi,,9.9,4.5
令和6,2024.0,3.0,13228.0,あきる野市,Akiruno-shi,,73.47,33.4
令和6,2024.0,3.0,13229.0,西東京市,Nishitokyo-shi,,15.75,7.16
令和6,2024.0,1.0,13300.0,郡部,All gun,,375.86,170.85
令和6,2024.0,3.0,13303.0,瑞穂町,Mizuho-machi,,16.85,7.66
令和6,2024.0,3.0,13305.0,日の出町,Hinode-machi,,28.07,12.76
令和6,2024.0,3.0,13307.0,檜原村,Hinohara-mura,,105.41,47.91
令和6,2024.0,3.0,13308.0,奥多摩町,Okutama-machi,,225.53,102.52
令和6,2024.0,1.0,13350.0,島部,All islands,,412.61,187.56
