admin_level,area_code,district_jp,district_en,mark,total_ha,residential_ha,other_use_ha,other_use_outdoor_ha,parks_ha,unused_land_ha,roads_total_ha,roads_of_which_roads_ha,farmland_ha,water_rivers_canals_ha,forests_ha,fields_ha
0,13100.0,区部,All ku,,62876.2,37062.4,2495.8,2447.4,4135.7,1302.5,13941.9,12014.8,484.4,2931.3,32.2,489.7
1,13101.0,千代田区,Chiyoda-ku,,1136.2,662.4,10.6,10.6,78.0,11.8,309.7,278.4,,63.7,,
1,13102.0,中央区,Chuo-ku,,1045.4,454.4,16.6,16.6,62.5,42.3,305.1,304.3,,164.6,,
1,13103.0,港区,Minato-ku,,2098.5,1293.9,47.5,47.5,157.0,34.3,500.5,448.0,,65.1,0.1,0.0
1,13104.0,新宿区,Shinjuku-ku,,1828.5,1252.9,35.4,35.3,113.7,21.6,392.4,370.1,0.1,11.8,0.4,0.2
1,13105.0,文京区,Bunkyo-ku,,1138.3,794.7,19.1,19.0,82.9,12.8,223.9,219.7,0.0,5.0,,
1,13106.0,台東区,Taito-ku,,1007.8,579.3,19.3,19.3,80.3,7.0,281.9,267.2,0.0,40.0,,
1,13107.0,墨田区,Sumida-ku,,1371.1,765.5,46.4,46.4,91.9,15.1,347.3,320.7,,99.2,,5.7
1,13108.0,江東区,Koto-ku,,4482.5,2128.2,251.1,251.1,503.7,179.3,886.9,789.2,1.0,532.2,,
1,13109.0,品川区,Shinagawa-ku,,2344.0,1357.6,151.3,151.3,140.8,42.2,559.9,432.3,0.0,87.7,,4.5
1,13110.0,目黒区,Meguro-ku,,1475.9,1083.8,32.5,32.3,47.5,25.5,275.9,265.4,1.7,8.7,,0.4
1,13111.0,大田区,Ota-ku,,6315.6,3196.6,215.0,214.9,293.3,128.8,2056.2,958.2,3.2,358.4,1.7,62.6
1,13112.0,世田谷区,Setagaya-ku,,5808.0,3968.0,183.1,181.6,325.9,85.0,1045.0,1006.1,94.0,49.6,18.4,38.9
1,13113.0,渋谷区,Shibuya-ku,,1511.5,1038.5,25.5,25.5,93.3,34.5,316.8,291.5,0.0,2.8,,
1,13114.0,中野区,Nakano-ku,,1557.5,1118.4,44.5,44.4,58.7,26.4,295.5,276.9,2.4,11.6,0.0,
1,13115.0,杉並区,Suginami-ku,,3390.0,2413.2,96.1,95.0,161.8,37.7,611.2,589.4,40.3,26.3,3.3,0.0
1,13116.0,豊島区,Toshima-ku,,1298.4,887.0,35.4,35.4,53.0,23.8,297.4,266.3,0.2,1.6,,
1,13117.0,北区,Kita-ku,,2056.6,1170.8,67.7,55.8,171.1,47.2,458.0,370.4,0.6,116.5,3.3,21.4
1,13118.0,荒川区,Arakawa-ku,,1024.2,610.1,43.7,43.7,60.2,18.7,241.2,189.2,0.0,50.1,,
1,13119.0,板橋区,Itabashi-ku,,3213.9,2007.8,140.3,140.3,231.4,45.1,663.6,639.1,19.2,82.1,0.5,23.8
1,13120.0,練馬区,Nerima-ku,,4818.5,3087.7,237.0,207.9,261.3,84.1,920.6,900.0,195.7,28.0,3.7,0.4
1,13121.0,足立区,Adachi-ku,,5320.1,2950.8,307.3,305.7,391.7,99.8,1121.9,1071.3,46.2,296.8,0.7,104.9
1,13122.0,葛飾区,Katsushika-ku,,3480.8,1844.1,167.9,166.1,277.6,42.5,716.8,670.5,32.9,306.1,,92.9
1,13123.0,江戸川区,Edogawa-ku,,4865.0,2394.2,295.9,295.2,398.2,62.5,1011.0,988.3,46.8,522.4,0.2,133.9
1,,中央防波堤,Central Breakwater,1),287.7,2.7,6.5,6.5,,174.4,103.1,102.3,,1.0,,
0,13200.0,市部,All shi,,78399.2,29305.5,3281.6,2048.1,4454.5,1627.9,9366.1,8964.1,4530.2,1194.4,22334.9,2304.6
1,13201.0,八王子市,Hachioji-shi,,18653.2,4847.6,600.8,408.3,930.0,366.4,1782.6,1729.5,787.5,212.8,8498.0,627.5
1,13202.0,立川市,Tachikawa-shi,,2434.3,1199.9,261.3,123.3,175.2,103.9,374.8,353.6,240.5,18.8,36.0,24.0
1,13203.0,武蔵野市,Musashino-shi,,1076.4,749.5,27.7,27.6,71.7,11.5,181.9,173.3,28.6,4.9,0.6,0.1
1,13204.0,三鷹市,Mitaka-shi,,1645.7,1068.5,42.6,42.0,70.7,36.4,259.2,248.7,137.2,19.7,9.7,1.9
1,13205.0,青梅市,Ome-shi,,10330.6,1490.9,346.9,147.3,314.2,146.0,541.7,526.0,473.4,136.7,6729.4,151.4
1,13206.0,府中市,Fuchu-shi,,2929.8,1642.3,121.3,85.7,279.5,48.9,513.6,479.8,124.0,45.6,11.6,143.1
1,13207.0,昭島市,Akishima-shi,,1714.0,857.1,65.4,65.1,167.6,64.7,261.7,242.7,64.9,53.5,33.9,145.2
1,13208.0,調布市,Chofu-shi,,2159.4,1248.5,48.9,48.3,181.9,37.3,369.7,334.3,120.2,48.1,40.0,64.9
1,13209.0,町田市,Machida-shi,,7159.6,3300.7,230.6,228.5,448.7,126.4,1048.9,1028.9,459.0,72.8,1267.2,205.4
1,13210.0,小金井市,Koganei-shi,,1132.3,730.2,21.5,21.2,100.3,14.5,181.2,169.7,61.1,12.4,8.5,2.6
1,13211.0,小平市,Kodaira-shi,,2045.4,1270.7,75.8,65.8,147.7,24.0,317.9,301.1,168.5,7.3,31.4,2.2
1,13212.0,日野市,Hino-shi,,2741.6,1289.0,90.5,89.3,147.9,75.9,461.1,428.4,128.4,85.7,180.8,282.1
1,13213.0,東村山市,Higashimurayama-shi,,1715.5,978.0,67.1,66.0,100.7,38.5,275.2,254.9,146.7,16.9,70.8,21.6
1,13214.0,国分寺市,Kokubunji-shi,,1153.9,719.6,41.1,40.7,32.3,21.4,181.6,170.0,128.5,2.4,23.2,3.9
1,13215.0,国立市,Kunitachi-shi,,815.9,513.6,28.4,26.7,21.9,13.7,151.8,145.5,53.6,9.3,6.7,16.9
1,13218.0,福生市,Fussa-shi,,1018.4,386.0,367.1,47.8,38.7,10.3,137.6,126.9,13.9,11.5,17.4,36.0
1,13219.0,狛江市,Komae-shi,,642.8,395.9,14.9,14.7,23.8,7.0,109.6,106.2,31.4,23.9,5.7,30.5
1,13220.0,東大和市,Higashiyamato-shi,,1353.4,579.5,51.7,48.6,91.0,35.5,191.9,188.8,61.0,147.5,193.3,2.2
1,13221.0,清瀬市,Kiyose-shi,,1012.0,519.9,30.8,29.8,34.4,25.8,153.7,145.1,186.7,7.9,35.6,17.1
1,13222.0,東久留米市,Higashikurume-shi,,1288.8,752.7,43.8,43.5,53.5,20.5,221.4,218.9,147.8,7.8,32.9,8.3
1,13223.0,武蔵村山市,Musashimurayama-shi,,1542.9,670.3,156.3,57.2,38.2,87.9,182.4,182.4,184.0,10.4,206.2,7.2
1,13224.0,多摩市,Tama-shi,,2107.3,932.5,68.2,67.2,303.5,53.6,403.7,386.0,33.8,40.6,139.6,131.9
1,13225.0,稲城市,Inagi-shi,,1797.0,576.8,184.4,55.6,278.3,107.6,264.2,248.5,121.4,27.5,175.3,61.4
1,13227.0,羽村市,Hamura-shi,,995.7,570.9,85.8,44.2,41.9,22.4,150.3,145.1,37.7,23.9,17.3,45.5
1,13228.0,あきる野市,Akiruno-shi,,7342.4,1010.2,157.4,102.6,287.8,101.2,363.9,355.4,457.2,142.0,4553.5,269.0
1,13229.0,西東京市,Nishitokyo-shi,,1590.9,1004.7,51.3,51.1,73.1,26.6,284.5,274.4,133.2,4.5,10.3,2.7
0,13300.0,郡部,All gun,,37561.2,1147.3,647.6,173.2,105.2,109.8,529.7,517.6,638.0,581.3,33643.6,158.7
1,13303.0,瑞穂町,Mizuho-machi,,1683.8,537.0,308.4,87.2,39.7,47.9,171.4,166.5,257.1,5.1,309.2,8.0
1,13305.0,日の出町,Hinode-machi,,2805.2,339.2,91.9,39.9,38.1,36.8,111.9,111.9,129.8,25.7,1978.6,53.1
1,13307.0,檜原村,Hinohara-mura,,10537.9,99.1,52.0,14.9,4.8,7.2,91.3,91.3,154.4,50.7,10014.2,64.2
1,13308.0,奥多摩町,Okutama-machi,,22534.3,172.0,195.3,31.4,22.6,17.9,155.0,147.8,96.7,499.8,21341.6,33.5
0,13350.0,島部,All islands,,33482.4,1212.3,332.6,258.6,257.4,200.3,1059.0,745.6,1670.0,67.7,21967.1,6716.1
1,13361.0,大島町,Oshima-machi,,9077.9,453.7,90.8,87.7,101.6,53.0,299.1,217.7,330.6,17.0,5805.6,1926.4
1,13362.0,利島村,Toshima-mura,,406.0,15.3,2.9,2.9,2.9,0.3,18.4,11.2,9.2,0.1,273.5,83.3
1,13363.0,新島村,Niijima-mura,,2719.9,121.5,66.6,13.6,37.8,16.0,101.3,66.8,69.1,0.8,1904.9,402.0
1,13364.0,神津島村,Kozushima-mura,,1837.8,45.6,6.5,5.9,10.9,8.2,79.1,36.9,185.2,3.9,1012.3,486.1
1,13381.0,三宅村,Miyake-mura,,5523.5,138.8,90.2,90.2,7.2,24.5,162.0,118.0,93.9,27.1,2391.3,2588.5
1,13382.0,御蔵島村,Mikurajima-mura,,2039.0,9.6,1.2,1.2,3.2,0.7,20.1,15.1,28.7,0.6,1706.0,268.8
1,13401.0,八丈町,Hachijo-machi,,6906.6,351.0,36.0,31.9,67.9,82.3,308.0,218.9,837.5,8.8,4921.0,294.2
1,13402.0,青ヶ島村,Aogashima-mura,,595.4,15.5,3.3,3.3,0.8,5.2,13.5,11.1,42.8,0.1,337.9,176.2
1,13421.0,小笠原村,Ogasawara-mura,,4376.5,61.3,35.1,21.8,25.2,10.0,57.4,50.0,72.9,9.3,3614.6,490.6
