era_year,year,admin_level,area_code,district_jp,district_en,city_planning_area_ha,urbanization_promotion_area_ha,urbanization_control_area_ha,use_zoning_total_ha,low_rise_residential_cat1_ha,low_rise_residential_cat2_ha,mid_high_residential_cat1_ha,mid_high_residential_cat2_ha,residential_cat1_ha,residential_cat2_ha,quasi_residential_ha,neighborhood_commercial_ha,commercial_ha,quasi_industrial_ha,industrial_ha,exclusive_industrial_ha
令和元,2019.0,0.0,13000.0,東京都,Tokyo-to,174377.0,108087.0,36267.0,111553.6,40888.2,770.4,19052.9,3683.8,11675.9,2121.5,1520.5,5954.1,7394.0,14565.4,2603.9,1323.0
令和2,2020.0,0.0,13000.0,東京都,Tokyo-to,174377.4,108087.3,36267.1,111553.7,40846.1,786.4,19040.3,3691.3,11670.0,2130.4,1520.5,5973.9,7395.1,14572.8,2603.9,1323.0
令和3,2021.0,0.0,13000.0,東京都,Tokyo-to,174716.4,108087.3,36605.1,111553.7,40821.0,786.4,19037.9,3698.8,11677.8,2139.1,1519.8,5974.2,7401.4,14570.4,2603.9,1323.0
令和4,2022.0,0.0,13000.0,東京都,Tokyo-to,174711.4,108086.4,36605.0,111553.5,40801.8,786.4,19021.6,3709.4,11664.1,2150.3,1542.2,5978.6,7401.0,14571.1,2604.0,1323.0
令和5,2023.0,0.0,13000.0,東京都,Tokyo-to,175129.6,108059.5,37045.1,111569.1,40751.8,790.3,19044.3,3714.5,11663.7,2146.8,1542.3,5949.6,7407.8,14598.6,2652.2,1307.2
令和5,2023.0,1.0,13100.0,区部,All ku,62239.6,58179.4,4060.2,58179.4,11237.9,578.9,10362.7,1090.2,9486.6,1176.7,472.2,4193.6,6471.9,10882.6,1223.4,1002.7
令和5,2023.0,2.0,,東京都市計画,Tokyo city planning,62239.6,58179.4,4060.2,58179.4,11237.9,578.9,10362.7,1090.2,9486.6,1176.7,472.2,4193.6,6471.9,10882.6,1223.4,1002.7
令和5,2023.0,3.0,13101.0,千代田区,Chiyoda-ku,1136.0,1136.0,,1136.0,,,,,359.5,81.6,,,694.9,,,
令和5,2023.0,3.0,13102.0,中央区,Chuo-ku,1021.0,876.0,145.0,876.0,,,,,58.9,70.8,,,685.0,61.3,,
令和5,2023.0,3.0,13103.0,港区,Minato-ku,2037.0,2022.2,14.8,2022.2,0.2,,454.0,101.2,164.1,207.0,,85.9,643.1,366.7,,
令和5,2023.0,3.0,13104.0,新宿区,Shinjuku-ku,1825.1,1825.1,,1825.1,125.0,,424.2,84.1,385.7,108.2,,91.3,492.4,114.2,,
令和5,2023.0,3.0,13105.0,文京区,Bunkyo-ku,1135.2,1135.2,,1135.2,122.2,,335.7,7.8,180.2,48.9,,124.4,240.2,75.8,,
令和5,2023.0,3.0,13106.0,台東区,Taito-ku,1007.8,974.8,33.0,974.8,,,113.5,3.8,80.1,3.1,,95.6,670.3,8.4,,
令和5,2023.0,3.0,13107.0,墨田区,Sumida-ku,1371.2,1241.0,130.2,1241.0,,,,,78.7,,,194.0,320.9,595.3,52.1,
令和5,2023.0,3.0,13108.0,江東区,Koto-ku,4301.0,3671.0,630.0,3671.0,,,133.5,,524.1,53.0,11.8,81.2,291.2,1851.9,182.8,541.5
令和5,2023.0,3.0,13109.0,品川区,Shinagawa-ku,2284.0,2239.5,44.5,2239.5,124.1,,209.9,3.5,557.6,14.8,,142.7,258.8,867.1,61.0,
令和5,2023.0,3.0,13110.0,目黒区,Meguro-ku,1476.0,1476.0,,1476.0,594.6,,310.1,63.4,181.3,48.7,,99.9,96.8,81.2,,
令和5,2023.0,3.0,13111.0,大田区,Ota-ku,6186.0,5559.6,626.4,5559.6,709.0,3.6,382.6,18.3,769.0,18.3,88.0,373.8,199.4,2458.4,178.3,360.9
令和5,2023.0,3.0,13112.0,世田谷区,Setagaya-ku,5807.8,5675.4,132.4,5675.4,2855.8,86.6,1367.3,140.8,542.9,111.4,66.9,346.2,99.2,58.3,,
令和5,2023.0,3.0,13113.0,渋谷区,Shibuya-ku,1511.3,1511.3,,1511.3,173.5,62.4,66.0,369.4,237.7,118.2,16.7,109.5,325.2,32.7,,
令和5,2023.0,3.0,13114.0,中野区,Nakano-ku,1557.6,1557.6,,1557.6,630.7,,505.0,4.0,67.3,,,251.8,71.5,27.3,,
令和5,2023.0,3.0,13115.0,杉並区,Suginami-ku,3389.9,3389.9,,3389.9,2158.5,14.8,431.3,96.7,77.4,61.1,68.4,298.7,130.6,52.4,,
令和5,2023.0,3.0,13116.0,豊島区,Toshima-ku,1298.6,1298.6,,1298.6,116.1,,475.2,0.2,201.9,5.8,,151.5,294.7,53.2,,
令和5,2023.0,3.0,13117.0,北区,Kita-ku,2053.3,1836.0,217.3,1836.0,,21.6,495.2,2.4,428.8,42.9,,243.7,172.2,333.0,96.2,
令和5,2023.0,3.0,13118.0,荒川区,Arakawa-ku,1022.5,969.1,53.4,969.1,,,,30.4,82.3,1.0,,76.3,138.0,592.0,49.1,
令和5,2023.0,3.0,13119.0,板橋区,Itabashi-ku,3209.0,3026.4,182.6,3026.4,190.4,,1008.6,3.1,546.5,60.7,46.1,248.6,176.3,582.9,76.4,86.8
令和5,2023.0,3.0,13120.0,練馬区,Nerima-ku,4818.7,4818.7,,4818.7,2756.0,,837.8,,548.6,55.3,83.4,301.7,93.5,139.0,3.4,
令和5,2023.0,3.0,13121.0,足立区,Adachi-ku,5320.0,4823.3,496.7,4823.3,405.9,,1140.7,87.1,1178.8,15.5,90.9,501.2,102.1,1120.3,167.3,13.5
令和5,2023.0,3.0,13122.0,葛飾区,Katsushika-ku,3480.6,3026.3,454.3,3026.3,210.3,389.9,409.2,,719.6,50.4,,119.7,134.8,752.4,240.0,
令和5,2023.0,3.0,13123.0,江戸川区,Edogawa-ku,4990.0,4090.4,899.6,4090.4,65.6,,1262.9,74.0,1515.6,,,255.9,140.8,658.8,116.8,
令和5,2023.0,1.0,,市郡部,All shi and gun,82864.0,49880.1,32984.9,53287.3,29513.9,211.4,8681.6,2624.3,2098.7,970.1,1070.1,1756.0,911.9,3716.0,1428.8,304.5
令和5,2023.0,2.0,,八王子都市計画,Hachioji city planning,18631.0,8151.0,10481.0,9932.5,5649.4,6.4,1502.7,416.8,305.1,192.4,197.0,285.0,121.3,1062.8,132.9,60.7
令和5,2023.0,3.0,13201.0,八王子市,Hachioji-shi,18631.0,8151.0,10481.0,9932.5,5649.4,6.4,1502.7,416.8,305.1,192.4,197.0,285.0,121.3,1062.8,132.9,60.7
令和5,2023.0,2.0,,立川都市計画,Tachikawa city planning,5324.7,4239.1,1085.6,4870.8,2772.7,2.4,729.8,112.4,292.2,56.0,63.6,98.4,156.9,207.8,378.6,
令和5,2023.0,3.0,13202.0,立川市,Tachikawa-shi,2433.7,2079.1,354.6,2079.1,887.0,,419.3,37.4,188.7,41.7,,40.9,127.7,205.4,131.0,
令和5,2023.0,3.0,13220.0,東大和市,Higashiyamato-shi,1354.0,989.0,365.0,1354.0,931.1,,144.8,59.6,66.0,5.8,30.4,33.6,8.4,2.4,71.9,
令和5,2023.0,3.0,13223.0,武蔵村山市,Musashimurayama-shi,1537.0,1171.0,366.0,1437.7,954.6,2.4,165.7,15.4,37.5,8.5,33.2,23.9,20.8,,175.7,
令和5,2023.0,2.0,,武蔵野都市計画,Musashino city planning,1073.0,1073.0,,1073.0,551.1,2.0,198.0,33.7,91.2,26.9,,77.9,57.3,34.9,,
令和5,2023.0,3.0,13203.0,武蔵野市,Musashino-shi,1073.0,1073.0,,1073.0,551.1,2.0,198.0,33.7,91.2,26.9,,77.9,57.3,34.9,,
令和5,2023.0,2.0,,三鷹都市計画,Mitaka city planning,1650.0,1650.0,,1650.0,1054.3,,229.8,31.3,145.4,3.3,15.3,57.8,24.7,61.7,26.4,
令和5,2023.0,3.0,13204.0,三鷹市,Mitaka-shi,1650.0,1650.0,,1650.0,1054.3,,229.8,31.3,145.4,3.3,15.3,57.8,24.7,61.7,26.4,
令和5,2023.0,2.0,,青梅都市計画,Ome city planning,10326.0,2233.3,8092.7,2252.4,848.7,64.0,362.7,49.9,294.4,20.4,,109.6,26.5,262.4,157.3,56.5
令和5,2023.0,3.0,13205.0,青梅市,Ome-shi,10326.0,2233.3,8092.7,2252.4,848.7,64.0,362.7,49.9,294.4,20.4,,109.6,26.5,262.4,157.3,56.5
令和5,2023.0,2.0,,府中都市計画,Fuchu city planning,2934.0,2725.0,209.0,2725.2,1172.7,15.0,611.2,53.1,109.1,128.8,80.6,128.4,55.8,222.6,147.9,
令和5,2023.0,3.0,13206.0,府中市,Fuchu-shi,2934.0,2725.0,209.0,2725.2,1172.7,15.0,611.2,53.1,109.1,128.8,80.6,128.4,55.8,222.6,147.9,
令和5,2023.0,2.0,,昭島都市計画,Akishima city planning,1715.0,1397.0,318.0,1440.2,578.0,,269.0,11.8,55.4,55.2,49.3,67.6,17.0,314.5,22.4,
令和5,2023.0,3.0,13207.0,昭島市,Akishima-shi,1715.0,1397.0,318.0,1440.2,578.0,,269.0,11.8,55.4,55.2,49.3,67.6,17.0,314.5,22.4,
令和5,2023.0,2.0,,調布都市計画,Chofu city planning,2792.0,2630.0,162.0,2630.0,1523.4,,459.5,45.4,159.7,11.3,39.7,141.6,42.9,206.5,,
令和5,2023.0,3.0,13208.0,調布市,Chofu-shi,2153.0,2048.0,105.0,2048.0,1149.3,,355.3,45.1,123.8,11.3,39.7,100.2,41.7,181.6,,
令和5,2023.0,3.0,13219.0,狛江市,Komae-shi,639.0,582.0,57.0,582.0,374.1,,104.2,0.3,35.9,,,41.4,1.2,24.9,,
令和5,2023.0,2.0,,町田都市計画,Machida city planning,7165.0,5481.0,1684.0,5663.5,3604.4,11.6,586.0,505.8,31.4,119.0,203.7,138.9,68.9,369.9,23.9,
令和5,2023.0,3.0,13209.0,町田市,Machida-shi,7165.0,5481.0,1684.0,5663.5,3604.4,11.6,586.0,505.8,31.4,119.0,203.7,138.9,68.9,369.9,23.9,
令和5,2023.0,2.0,,小金井都市計画,Koganei city planning,1133.0,1133.0,,1133.0,738.0,0.5,229.9,7.9,93.5,,,30.2,20.0,13.0,,
令和5,2023.0,3.0,13210.0,小金井市,Koganei-shi,1133.0,1133.0,,1133.0,738.0,0.5,229.9,7.9,93.5,,,30.2,20.0,13.0,,
令和5,2023.0,2.0,,小平都市計画,Kodaira city planning,2045.5,2045.5,,2045.5,1177.3,6.0,418.6,167.8,54.2,19.8,14.0,30.2,36.4,71.0,50.2,
令和5,2023.0,3.0,13211.0,小平市,Kodaira-shi,2045.5,2045.5,,2045.5,1177.3,6.0,418.6,167.8,54.2,19.8,14.0,30.2,36.4,71.0,50.2,
令和5,2023.0,2.0,,日野都市計画,Hino city planning,2753.0,2244.0,509.0,2391.0,1442.0,,254.0,239.8,6.6,65.0,42.9,65.1,26.1,101.0,148.5,
令和5,2023.0,3.0,13212.0,日野市,Hino-shi,2753.0,2244.0,509.0,2391.0,1442.0,,254.0,239.8,6.6,65.0,42.9,65.1,26.1,101.0,148.5,
令和5,2023.0,2.0,,東村山都市計画,Higashimurayama city planning,4028.0,3994.8,33.2,4028.0,2395.4,17.4,812.8,250.1,62.4,56.8,34.1,114.7,54.5,229.8,,
令和5,2023.0,3.0,13213.0,東村山市,Higashimurayama-shi,1717.0,1696.0,21.0,1717.0,1014.7,13.4,342.9,72.5,51.5,10.8,20.6,54.6,27.0,109.0,,
