admin_level,area_code,district_jp,district_en,mark,total_owners,total_area_ha,individual_owners,individual_area_ha,company_owners,company_area_ha
0,13100.0,区部,All ku,3),1316855.0,296070.0,1210776.0,202663.0,106079.0,93406.0
1,13101.0,千代田区,Chiyoda-ku,,7926.0,3516.0,4562.0,538.0,3364.0,2978.0
1,13102.0,中央区,Chuo-ku,,11414.0,3055.0,7039.0,644.0,4375.0,2412.0
1,13103.0,港区,Minato-ku,,17861.0,7855.0,12356.0,1790.0,5505.0,6064.0
1,13104.0,新宿区,Shinjuku-ku,,38306.0,8440.0,32243.0,4564.0,6063.0,3876.0
1,13105.0,文京区,Bunkyo-ku,,28907.0,4973.0,25814.0,3185.0,3093.0,1787.0
1,13106.0,台東区,Taito-ku,,26502.0,4254.0,21556.0,2262.0,4946.0,1992.0
1,13107.0,墨田区,Sumida-ku,,33247.0,6145.0,29416.0,3712.0,3831.0,2433.0
1,13108.0,江東区,Koto-ku,,34724.0,12880.0,30158.0,3719.0,4566.0,9161.0
1,13109.0,品川区,Shinagawa-ku,,45822.0,11753.0,41725.0,5563.0,4097.0,6190.0
1,13110.0,目黒区,Meguro-ku,,40196.0,8165.0,36908.0,5985.0,3288.0,2180.0
1,13111.0,大田区,Ota-ku,,100304.0,23170.0,92948.0,15382.0,7356.0,7788.0
1,13112.0,世田谷区,Setagaya-ku,,143145.0,32848.0,135811.0,25984.0,7334.0,6864.0
1,13113.0,渋谷区,Shibuya-ku,,28490.0,6990.0,23479.0,3689.0,5011.0,3301.0
1,13114.0,中野区,Nakano-ku,,51786.0,9343.0,47982.0,7317.0,3804.0,2027.0
1,13115.0,杉並区,Suginami-ku,,101973.0,20689.0,97095.0,17413.0,4878.0,3276.0
1,13116.0,豊島区,Toshima-ku,,39284.0,7312.0,35212.0,5051.0,4072.0,2261.0
1,13117.0,北区,Kita-ku,,43910.0,9464.0,40776.0,5812.0,3134.0,3652.0
1,13118.0,荒川区,Arakawa-ku,,27395.0,5159.0,24950.0,3345.0,2445.0,1815.0
1,13119.0,板橋区,Itabashi-ku,,70053.0,16167.0,65361.0,11404.0,4692.0,4762.0
1,13120.0,練馬区,Nerima-ku,,130806.0,28802.0,126019.0,25116.0,4787.0,3686.0
1,13121.0,足立区,Adachi-ku,,111976.0,26647.0,105935.0,20318.0,6041.0,6329.0
1,13122.0,葛飾区,Katsushika-ku,,79082.0,16152.0,74879.0,12720.0,4203.0,3432.0
1,13123.0,江戸川区,Edogawa-ku,,103746.0,22290.0,98552.0,17152.0,5194.0,5138.0
0,13200.0,市部,All shi,,969566.0,426924.0,935300.0,323288.0,34266.0,103636.0
1,13201.0,八王子市,Hachioji-shi,,129465.0,90366.0,124877.0,62672.0,4588.0,27694.0
1,13202.0,立川市,Tachikawa-shi,,35398.0,13903.0,33681.0,10362.0,1717.0,3541.0
1,13203.0,武蔵野市,Musashino-shi,,23753.0,6781.0,22601.0,5380.0,1152.0,1401.0
1,13204.0,三鷹市,Mitaka-shi,,35124.0,10227.0,33915.0,8789.0,1209.0,1438.0
1,13205.0,青梅市,Ome-shi,,38229.0,60288.0,36883.0,41130.0,1346.0,19158.0
1,13206.0,府中市,Fuchu-shi,,48071.0,15142.0,46442.0,11080.0,1629.0,4062.0
1,13207.0,昭島市,Akishima-shi,,22792.0,9202.0,21876.0,5849.0,916.0,3353.0
1,13208.0,調布市,Chofu-shi,,40826.0,11953.0,39386.0,9869.0,1440.0,2084.0
1,13209.0,町田市,Machida-shi,,107057.0,41610.0,103930.0,34220.0,3127.0,7390.0
1,13210.0,小金井市,Koganei-shi,,25628.0,6667.0,24868.0,5743.0,760.0,923.0
1,13211.0,小平市,Kodaira-shi,,52072.0,13127.0,50227.0,10440.0,1845.0,2687.0
1,13212.0,日野市,Hino-shi,,43622.0,14394.0,42374.0,11075.0,1248.0,3319.0
1,13213.0,東村山市,Higashimurayama-shi,,35486.0,9901.0,34497.0,8514.0,989.0,1387.0
1,13214.0,国分寺市,Kokubunji-shi,,29300.0,8048.0,28232.0,6666.0,1068.0,1382.0
1,13215.0,国立市,Kunitachi-shi,,14443.0,4768.0,13757.0,3908.0,686.0,859.0
1,13218.0,福生市,Fussa-shi,,11399.0,3903.0,10935.0,3221.0,464.0,682.0
1,13219.0,狛江市,Komae-shi,,19151.0,3985.0,18414.0,3543.0,737.0,443.0
1,13220.0,東大和市,Higashiyamato-shi,,19308.0,6053.0,18736.0,5199.0,572.0,854.0
1,13221.0,清瀬市,Kiyose-shi,,15426.0,5878.0,15047.0,5058.0,379.0,820.0
1,13222.0,東久留米市,Higashikurume-shi,,39511.0,8407.0,38338.0,7129.0,1173.0,1278.0
1,13223.0,武蔵村山市,Musashimurayama-shi,,21056.0,8841.0,20379.0,7135.0,677.0,1706.0
1,13224.0,多摩市,Tama-shi,,42711.0,10170.0,41721.0,6700.0,990.0,3471.0
1,13225.0,稲城市,Inagi-shi,,15879.0,9330.0,15339.0,5953.0,540.0,3377.0
1,13227.0,羽村市,Hamura-shi,,13562.0,6079.0,13112.0,4114.0,450.0,1965.0
1,13228.0,あきる野市,Akiruno-shi,,29118.0,37418.0,28291.0,30484.0,827.0,6934.0
1,13229.0,西東京市,Nishitokyo-shi,,61179.0,10484.0,57442.0,9056.0,3737.0,1428.0
