era_year,year,month_jp,month,avg_sea_level_pressure_hpa,avg_temp_c,avg_high_temp_c,avg_low_temp_c,avg_humidity_pct,min_humidity_pct,min_humidity_date,avg_cloud_amount,sunshine_hours,sunshine_pct,avg_wind_speed_ms,max_wind_speed_ms,max_wind_direction,max_wind_date,total_precip_mm,max_daily_precip_mm,max_daily_precip_date,days_precip_ge_0_5mm,days_precip_ge_1_0mm,days_precip_ge_10mm,days_precip_ge_30mm,days_clear,days_cloudy,days_rainy,days_snowy,days_snow_cover,days_fog,days_thunderstorm,days_no_sunshine,days_wind_ge_10ms,earthquake_count
昭和25,1950.0,総数,Total,1013.6,15.1,19.9,11.4,72.0,,,6.3,1937.4,44.0,,,,,1951.7,151.3,1950-07-29,139.0,123.0,55.0,18.0,,,139.0,14.0,12.0,32.0,14.0,54.0,,54.0
昭和30,1955.0,総数,Total,1013.6,15.5,20.2,11.7,70.0,,,6.2,2018.1,46.0,3.7,,,,1553.9,106.2,1955-10-11,122.0,110.0,46.0,14.0,,,122.0,5.0,2.0,20.0,12.0,60.0,,49.0
昭和35,1960.0,総数,Total,1013.8,15.4,20.1,11.6,67.0,,,6.2,2122.2,48.0,3.6,,,,1281.9,83.9,1960-09-01,106.0,98.0,42.0,12.0,,,106.0,3.0,,26.0,12.0,55.0,,41.0
昭和40,1965.0,総数,Total,1013.1,14.6,18.7,10.8,64.0,12.0,1965-03-15,6.2,2103.3,47.0,3.8,24.7,南 S,1965-09-18,1596.0,118.0,1965-05-27,112.0,99.0,43.0,16.0,46.0,124.0,112.0,9.0,2.0,26.0,11.0,51.0,66.0,19.0
昭和45,1970.0,総数,Total,1014.5,15.2,19.3,11.5,64.0,14.0,1970-01-17,6.4,1790.7,40.0,3.7,15.5,南南西 SSW,1970-04-17,1122.0,73.0,1970-07-01,101.0,86.0,35.0,10.0,47.0,154.0,101.0,11.0,4.0,19.0,7.0,86.0,50.0,23.0
昭和50,1975.0,総数,Total,1013.8,15.6,19.5,12.2,64.0,14.0,1975-01-18,6.4,2018.9,46.0,3.0,18.4,南南西・南 SSW・S,1975-04-06・1975-08-23,1540.5,93.0,1975-07-04,108.0,93.0,44.0,17.0,50.0,138.0,108.0,8.0,3.0,6.0,9.0,61.0,29.0,32.0
昭和55,1980.0,総数,Total,1013.3,15.4,19.2,12.0,63.0,12.0,1980-05-11,6.3,1901.4,43.0,3.5,16.1,北北西 NNW,1980-03-08,1577.5,65.5,1980-09-10,125.0,115.0,55.0,14.0,53.0,150.0,125.0,7.0,4.0,1.0,10.0,70.0,39.0,31.0
昭和60,1985.0,総数,Total,1014.5,15.7,19.3,12.3,67.0,14.0,1985-01-14,6.5,1998.3,45.0,3.4,16.7,南 S,1985-07-01,1516.5,96.0,1985-06-30,122.0,103.0,45.0,15.0,44.0,160.0,122.0,6.0,1.0,7.0,8.0,74.0,20.0,35.0
平成2,1990.0,総数,Total,1014.8,17.0,20.6,13.8,62.0,15.0,1990-04-30,6.2,1940.7,44.0,3.6,14.4,南 S,1990-09-20,1512.5,123.5,1990-09-30,119.0,106.0,40.0,13.0,48.0,131.0,119.0,10.0,6.0,1.0,15.0,67.0,37.0,37.0
平成7,1995.0,総数,Total,1013.2,16.3,20.1,13.0,60.0,16.0,1995-01-31・1995-04-24・1995-11-18,6.2,2028.1,46.0,3.3,16.0,北 N,1995-09-17,1220.0,93.5,1995-09-17,101.0,94.0,40.0,10.0,47.0,140.0,101.0,5.0,2.0,5.0,11.0,45.0,14.0,44.0
平成12,2000.0,総数,Total,1013.4,16.9,20.6,13.6,60.0,10.0,2000-01-21,6.4,1962.5,44.0,3.2,13.8,北西 NW,2000-03-20,1603.0,115.0,2000-07-08,112.0,96.0,52.0,13.0,33.0,131.0,112.0,7.0,2.0,1.0,22.0,60.0,18.0,27.0
平成17,2005.0,総数,Total,1012.8,16.2,20.0,12.8,57.0,9.0,2005-03-21,6.4,1965.0,44.0,3.4,13.4,北東 NE,2005-08-26,1482.0,74.5,2005-07-26,103.0,94.0,49.0,14.0,39.0,138.0,103.0,14.0,5.0,,12.0,54.0,26.0,85.0
平成22,2010.0,総数,Total,1014.1,16.9,20.7,13.6,61.0,11.0,2010-01-13・2010-03-21・2010-11-9,6.8,1987.0,45.0,2.9,14.6,南 S,2010-03-21,1679.5,102.0,2010-09-08,125.0,111.0,42.0,16.0,34.0,151.0,125.0,14.0,6.0,1.0,11.0,61.0,13.0,48.0
平成27,2015.0,総数,Total,1014.1,16.4,20.8,12.8,68.0,12.0,2015-02-13・2015-05-11,6.8,1966.6,44.0,2.8,11.0,北北西・南南西 NNW・SSW,2015-02-15・2015-12-11,1781.5,156.5,2015-09-09,129.0,115.0,51.0,17.0,39.0,165.0,129.0,11.0,2.0,,13.0,67.0,14.0,66.0
平成30,2018.0,総数,Total,1014.1,16.8,21.2,13.0,70.0,14.0,2018-02-07,6.7,2112.2,48.0,3.0,18.2,南 S,2018-10-01,1445.5,58.0,2018-03-09,116.0,103.0,44.0,17.0,34.0,156.0,116.0,11.0,10.0,,14.0,47.0,15.0,64.0
平成31・令和元年,2019.0,総数,Total,1014.0,16.5,20.9,12.8,70.0,15.0,2019-05-24,6.8,1909.0,43.0,2.9,17.8,南南東 SSE,2019-10-12,1874.0,209.5,2019-10-12,131.0,111.0,45.0,14.0,35.0,153.0,131.0,6.0,3.0,1.0,12.0,68.0,10.0,52.0
令和2,2020.0,総数,Total,1013.9,16.5,21.0,12.8,71.0,15.0,2020-12-17,6.8,1889.5,43.0,2.8,13.1,北西 NW,2020-03-16,1590.0,132.0,2020-04-13,135.0,108.0,42.0,16.0,29.0,156.0,135.0,6.0,1.0,,17.0,64.0,12.0,65.0
令和3,2021.0,総数,Total,1014.4,16.6,21.3,12.8,69.0,10.0,2021-04-22,6.4,2089.8,47.0,2.7,12.4,南 S,2021-08-09,2052.5,138.5,2021-08-15,124.0,107.0,49.0,24.0,45.0,145.0,124.0,2.0,,1.0,15.0,54.0,11.0,70.0
令和4,2022.0,総数,Total,1014.1,16.4,21.1,12.7,70.0,15.0,2022-02-25・2022-12-23,6.6,2028.9,46.0,2.7,9.5,南東・南南東・南 SE・SSE・S,2022-05-27・2022-09-19・2022-09-20,1615.5,112.5,2022-09-24,125.0,109.0,40.0,17.0,38.0,151.0,125.0,10.0,5.0,,11.0,51.0,,74.0
令和5,2023.0,総数,Total,1014.5,17.6,22.5,13.7,68.0,15.0,2023-04-13,6.1,2259.2,51.0,2.8,12.5,南南西 SSW,2023-04-12,1396.5,168.5,2023-06-02,100.0,90.0,41.0,14.0,52.0,125.0,100.0,2.0,1.0,2.0,13.0,39.0,7.0,52.0
令和6,2024.0,総数,Total,1013.9,17.6,22.2,13.8,70.0,14.0,2024-03-16,6.4,2100.2,47.0,2.7,13.2,北西 NW,2024-02-27,1926.0,98.0,2024-06-18,125.0,105.0,51.0,24.0,46.0,139.0,125.0,5.0,5.0,,25.0,43.0,13.0,81.0
令和6,2024.0,1,Jan.,1016.6,7.1,11.8,2.9,54.0,18.0,2024-1-24・2024-1-25,3.7,198.5,64.0,2.6,10.3,北西 NW,2024-01-16,36.0,31.5,2024-01-21,3.0,3.0,1.0,1.0,12.0,3.0,3.0,1.0,,,1.0,1.0,1.0,2.0
令和6,2024.0,2,Feb.,1020.3,8.0,12.5,4.1,63.0,19.0,2024-02-14,6.7,152.4,49.0,2.9,13.2,北西 NW,2024-02-27,78.5,35.0,2024-02-05,10.0,9.0,1.0,1.0,2.0,13.0,10.0,3.0,4.0,,1.0,7.0,3.0,10.0
令和6,2024.0,3,Mar.,1013.4,9.6,14.8,5.1,59.0,14.0,2024-03-16,5.3,201.6,55.0,3.1,12.9,北西 NW,2024-03-20,188.5,45.0,2024-03-26,12.0,11.0,7.0,2.0,6.0,10.0,12.0,1.0,1.0,,1.0,4.0,3.0,15.0
令和6,2024.0,4,Apr.,1014.5,17.1,21.8,13.1,72.0,23.0,2024-4-10・2024-4-20,7.6,150.3,38.0,2.7,11.0,南 S,2024-04-09,115.5,55.5,2024-04-09,13.0,11.0,3.0,1.0,1.0,14.0,13.0,,,,,6.0,3.0,7.0
令和6,2024.0,5,May,1013.5,20.0,24.8,15.6,72.0,19.0,2024-05-04,7.1,185.5,43.0,3.3,10.2,南 S,2024-05-28,201.5,58.5,2024-05-13,12.0,11.0,6.0,3.0,5.0,16.0,12.0,,,,,4.0,2.0,3.0
令和6,2024.0,6,June,1009.5,23.1,27.7,19.3,79.0,32.0,2024-06-08,7.7,158.1,36.0,2.6,8.0,南東 SE,2024-06-05,350.0,98.0,2024-06-18,11.0,9.0,7.0,4.0,1.0,17.0,11.0,,,,2.0,3.0,,7.0
令和6,2024.0,7,July,1007.9,28.7,33.5,25.0,78.0,40.0,2024-07-29,8.3,199.6,45.0,2.6,10.7,西北西 WNW,2024-07-24,206.5,45.0,2024-07-20,15.0,10.0,8.0,3.0,1.0,20.0,15.0,,,,7.0,2.0,1.0,8.0
令和6,2024.0,8,Aug.,1007.6,29.0,33.6,25.7,79.0,45.0,2024-8-10・2024-8-20,7.1,189.8,45.0,3.0,9.5,西北西 WNW,2024-08-19,381.0,90.0,2024-08-16,12.0,11.0,9.0,4.0,1.0,12.0,12.0,,,,10.0,2.0,,9.0
令和6,2024.0,9,Sept.,1013.2,26.6,30.9,23.5,81.0,51.0,2024-09-24,6.8,160.8,43.0,2.9,9.0,南 S,2024-09-02,111.5,35.5,2024-09-01,12.0,11.0,2.0,2.0,1.0,11.0,12.0,,,,3.0,2.0,,3.0
令和6,2024.0,10,Oct.,1018.7,20.6,24.5,17.4,79.0,39.0,2024-10-31,7.9,111.7,32.0,2.4,7.3,南 S,2024-10-07,174.5,53.5,2024-10-09,14.0,12.0,5.0,2.0,1.0,15.0,14.0,,,,,9.0,,5.0
令和6,2024.0,11,Nov.,1018.1,13.7,17.8,10.2,69.0,17.0,2024-11-28,5.4,158.1,51.0,2.3,8.3,北西 NW,2024-11-07,82.0,33.5,2024-11-02,10.0,7.0,2.0,1.0,5.0,7.0,10.0,,,,,3.0,,4.0
令和6,2024.0,12,Dec.,1013.6,8.1,13.2,3.8,54.0,19.0,2024-12-23,3.2,233.8,77.0,2.3,8.2,南南西 SSW,2024-12-21,0.5,0.5,2024-12-19,1.0,,,,10.0,1.0,1.0,1.0,,,,,,8.0
