observatory_jp,observatory_en,mark,total_precip_mm,precip_jan_mm,precip_feb_mm,precip_mar_mm,precip_apr_mm,precip_may_mm,precip_jun_mm,precip_jul_mm,precip_aug_mm,precip_sep_mm,precip_oct_mm,precip_nov_mm,precip_dec_mm
東京,Tokyo,,1926.0,36.0,78.5,188.5,115.5,201.5,350.0,206.5,381.0,111.5,174.5,82.0,0.5
江戸川臨海,Edogawarinkai,1),1397.0,37.5,58.0,153.5,90.5,153.5,277.0,153.5,173.5,94.0,128.0,78.0,0.0
練馬,Nerima,1),1776.5,30.5,64.0,171.5,94.5,176.5,270.0,254.0,444.5,33.5,151.5,86.0,0.0
世田谷,Setagaya,1),1799.0,36.0,78.0,172.0,117.5,211.0,307.5,114.5,461.0,48.0,156.0,97.5,0.0
府中,Fuchu,1),1746.5,39.0,70.0,204.0,97.5,164.0,283.5,156.0,436.5,37.5,172.5,86.0,0.0
八王子,Hachioji,1),2036.5,41.5,74.5,182.5,106.0,168.0,304.0,132.5,659.0,129.0,161.5,78.0,0.0
小沢,Ozawa,1),1667.5,34.5,81.0,147.0,95.5,196.5,248.0,127.5,413.5,93.5,151.5,79.0,0.0
青梅,Ome,1),1658.0,29.5,61.5,155.5,79.5,160.0,228.0,96.0,563.5,56.5,162.0,66.0,0.0
小河内,Ogochi,1),1598.0,32.5,74.0,134.5,96.0,203.5,247.5,115.0,362.5,100.5,140.5,91.5,0.0
羽田,Haneda,1),1636.0,39.5,64.0,172.5,97.5,167.5,401.5,131.5,229.5,92.0,156.0,84.5,0.0
大島,Oshima,,2967.5,59.5,310.5,394.0,308.0,313.5,427.0,141.5,236.0,253.5,351.0,169.5,3.5
新島,Niijima,,2697.5,125.0,261.5,340.5,283.5,308.5,394.0,96.5,178.0,193.0,179.0,274.0,64.0
三宅島,Miyakejima,,3322.5,136.5,344.0,430.5,368.0,404.5,381.5,73.5,283.0,309.5,318.5,212.0,61.0
八丈島,Hachijojima,,3972.5,194.0,346.0,333.0,420.5,305.5,377.0,27.5,157.0,613.0,561.0,548.5,89.5
父島,Chichijima,,1034.0,23.5,71.0,25.0,28.0,14.0,156.0,20.5,184.5,138.0,84.0,144.0,145.5
