district_en,tree_count,area_km2,trees_per_km2
Shinjuku-ku,11375,18.22,624.3
Bunkyo-ku,6936,11.29,614.3
Chiyoda-ku,6772,11.66,580.8
Chuo-ku,4755,10.21,465.7
Shibuya-ku,6768,15.11,447.9
Minato-ku,8706,20.36,427.6
Toshima-ku,4687,13.01,360.3
Meguro-ku,4441,14.67,302.7
Adachi-ku,13479,53.25,253.1
Kita-ku,4952,20.61,240.3
Sumida-ku,3127,13.77,227.1
Koto-ku,9486,42.99,220.7
Arakawa-ku,2224,10.16,218.9
Nerima-ku,10304,48.08,214.3
Taito-ku,2152,10.11,212.9
Suginami-ku,7245,34.06,212.7
Shinagawa-ku,4688,22.85,205.2
Nakano-ku,2463,15.59,158.0
Setagaya-ku,8321,58.05,143.3
Edogawa-ku,6962,49.9,139.5
Ota-ku,7454,61.86,120.5
Katsushika-ku,3991,34.8,114.7
Itabashi-ku,2895,32.22,89.9
