年次,Year,地域階層,地域コード,地域,District,総数 Total ,宅地 Land for buildings／計  Total ,宅地 Land for buildings／商業地区 Commercial district ,宅地 Land for buildings／工業地区 Industrial district ,宅地 Land for buildings／住宅地区 Residential district ,宅地 Land for buildings／その他  Others 1),田 Paddy fields  ,畑 Ordinary fields  ,山林 Forests  ,原野 Waste land  ,池沼 Ponds and swamps  ,雑種地 Miscellaneous land 2),免税点未満 Land under the legal tax exemption limit 3)
令和2,2020,0,13000,東京都,Tokyo-to,102575.92,57864.18,2880.09,3344.23,50216.28,1423.59,274.06,7650.04,24317.36,1792.13,11.94,4579.15,6087.06
令和3,2021,0,13000,東京都,Tokyo-to,102429.13,57943.58,2907.94,3152.33,50468.78,1414.51,268.18,7551.04,24207.17,1767.38,11.75,4534.98,6145.02
令和4,2022,0,13000,東京都,Tokyo-to,102293.37,58036.46,2912.58,3173.97,50537.72,1412.21,263.72,7448.27,24101.35,1767.13,11.75,4523.82,6140.92
令和5,2023,0,13000,東京都,Tokyo-to,102209.19,58140.09,2917.18,3179.87,50622.49,1420.55,260.18,7360.7,24011.98,1759.93,11.73,4508.65,6156
令和6,2024,0,13000,東京都,Tokyo-to,102060.5,58239.23,2921.32,3147.38,50752.41,1418.14,252.47,7231.73,23917.63,1755.24,11.67,4546.26,6106.26
令和6,2024,1,13100,区部,All ku          　,33195.87,31655.52,2027.22,1400.8,28226.24,1.26,0.37,407.04,12.26,-,5.83,1102.17,12.67
令和6,2024,3,13101,千代田区,Chiyoda-ku,407.31,366.4,316.23,-,50.17,-,-,-,-,-,-,40.9,0.01
令和6,2024,3,13102,中央区,Chuo-ku,405.69,404.93,247.56,8.89,148.48,-,-,-,-,-,-,0.74,0.02
令和6,2024,3,13103,港区,Minato-ku,999.36,935.37,311.66,21.28,602.43,-,-,-,-,-,0.06,63.89,0.04
令和6,2024,3,13104,新宿区,Shinjuku-ku,1016.4,985.97,119.14,0.68,866.15,-,-,-,-,-,-,30.26,0.17
令和6,2024,3,13105,文京区,Bunkyo-ku,595.53,588.31,72.01,2.8,513.5,-,-,-,-,-,-,7.06,0.16
令和6,2024,3,13106,台東区,Taito-ku,480.63,453.63,246.88,-,206.75,-,-,-,-,-,-,26.9,0.1
令和6,2024,3,13107,墨田区,Sumida-ku,708.16,683.18,46.39,65.81,570.98,-,-,-,-,-,-,24.77,0.21
令和6,2024,3,13108,江東区,Koto-ku,1565.61,1500.59,80.59,373.98,1046.02,-,-,-,-,-,4.72,59.99,0.31
令和6,2024,3,13109,品川区,Shinagawa-ku,1360.72,1150.9,78.9,137.36,934.64,-,-,-,0.1,-,-,209.46,0.26
令和6,2024,3,13110,目黒区,Meguro-ku,927.43,910.91,31.38,-,879.53,-,-,1.91,0.55,-,-,13.84,0.22
令和6,2024,3,13111,大田区,Ota-ku,2578.49,2501.17,31.56,229.12,2240.47,0.02,-,2.63,1.03,-,0.15,72.69,0.82
令和6,2024,3,13112,世田谷区,Setagaya-ku,3667.28,3513.35,24.96,-,3488.16,0.23,-,84.46,4.6,-,-,63.35,1.52
