地域階層,地域コード,地域,District,マーク Mark,総数 Total／所有者数 Number of owners,総数 Total／面積 Area 2),個人 Individual／所有者数 Number of owners,個人 Individual／面積 Area 2),法人 Companies／所有者数 Number of owners,法人 Companies／面積 Area 2)
0,13100,区部,All ku,3),1316855,296070,1210776,202663,106079,93406
1,13101,千代田区,Chiyoda-ku,,7926,3516,4562,538,3364,2978
1,13102,中央区,Chuo-ku,,11414,3055,7039,644,4375,2412
1,13103,港区,Minato-ku,,17861,7855,12356,1790,5505,6064
1,13104,新宿区,Shinjuku-ku,,38306,8440,32243,4564,6063,3876
1,13105,文京区,Bunkyo-ku,,28907,4973,25814,3185,3093,1787
1,13106,台東区,Taito-ku,,26502,4254,21556,2262,4946,1992
1,13107,墨田区,Sumida-ku,,33247,6145,29416,3712,3831,2433
1,13108,江東区,Koto-ku,,34724,12880,30158,3719,4566,9161
1,13109,品川区,Shinagawa-ku,,45822,11753,41725,5563,4097,6190
1,13110,目黒区,Meguro-ku,,40196,8165,36908,5985,3288,2180
1,13111,大田区,Ota-ku,,100304,23170,92948,15382,7356,7788
1,13112,世田谷区,Setagaya-ku,,143145,32848,135811,25984,7334,6864
1,13113,渋谷区,Shibuya-ku,,28490,6990,23479,3689,5011,3301
1,13114,中野区,Nakano-ku,,51786,9343,47982,7317,3804,2027
1,13115,杉並区,Suginami-ku,,101973,20689,97095,17413,4878,3276
1,13116,豊島区,Toshima-ku,,39284,7312,35212,5051,4072,2261
1,13117,北区,Kita-ku,,43910,9464,40776,5812,3134,3652
1,13118,荒川区,Arakawa-ku,,27395,5159,24950,3345,2445,1815
1,13119,板橋区,Itabashi-ku,,70053,16167,65361,11404,4692,4762
1,13120,練馬区,Nerima-ku,,130806,28802,126019,25116,4787,3686
1,13121,足立区,Adachi-ku,,111976,26647,105935,20318,6041,6329
1,13122,葛飾区,Katsushika-ku,,79082,16152,74879,12720,4203,3432
1,13123,江戸川区,Edogawa-ku,,103746,22290,98552,17152,5194,5138
0,13200,市部,All shi,,969566,426924,935300,323288,34266,103636
1,13201,八王子市,Hachioji-shi,,129465,90366,124877,62672,4588,27694
1,13202,立川市,Tachikawa-shi,,35398,13903,33681,10362,1717,3541
1,13203,武蔵野市,Musashino-shi,,23753,6781,22601,5380,1152,1401
1,13204,三鷹市,Mitaka-shi,,35124,10227,33915,8789,1209,1438
1,13205,青梅市,Ome-shi,,38229,60288,36883,41130,1346,19158
1,13206,府中市,Fuchu-shi,,48071,15142,46442,11080,1629,4062
1,13207,昭島市,Akishima-shi,,22792,9202,21876,5849,916,3353
1,13208,調布市,Chofu-shi,,40826,11953,39386,9869,1440,2084
1,13209,町田市,Machida-shi,,107057,41610,103930,34220,3127,7390
1,13210,小金井市,Koganei-shi,,25628,6667,24868,5743,760,923
1,13211,小平市,Kodaira-shi,,52072,13127,50227,10440,1845,2687
1,13212,日野市,Hino-shi,,43622,14394,42374,11075,1248,3319
1,13213,東村山市,Higashimurayama-shi,,35486,9901,34497,8514,989,1387
1,13214,国分寺市,Kokubunji-shi,,29300,8048,28232,6666,1068,1382
1,13215,国立市,Kunitachi-shi,,14443,4768,13757,3908,686,859
1,13218,福生市,Fussa-shi,,11399,3903,10935,3221,464,682
1,13219,狛江市,Komae-shi,,19151,3985,18414,3543,737,443
1,13220,東大和市,Higashiyamato-shi,,19308,6053,18736,5199,572,854
1,13221,清瀬市,Kiyose-shi,,15426,5878,15047,5058,379,820
1,13222,東久留米市,Higashikurume-shi,,39511,8407,38338,7129,1173,1278
1,13223,武蔵村山市,Musashimurayama-shi,,21056,8841,20379,7135,677,1706
1,13224,多摩市,Tama-shi,,42711,10170,41721,6700,990,3471
1,13225,稲城市,Inagi-shi,,15879,9330,15339,5953,540,3377
1,13227,羽村市,Hamura-shi,,13562,6079,13112,4114,450,1965
1,13228,あきる野市,Akiruno-shi,,29118,37418,28291,30484,827,6934
1,13229,西東京市,Nishitokyo-shi,,61179,10484,57442,9056,3737,1428
,,,,,,,,,,
東京都統計年鑑（令和6年）TOKYO STATISTICAL YEARBOOK ( 2024 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,
1-5 区市別、所有者別土地所有状況（全地目）（令和5年） 1-5 LAND OWNERSHIP BY MUNICIPALITY AND OWNER ( ALL LAND CLASSIFICATION ）( 2023 ),,,,,,,,,,
注 1) 課税資料（令和5年1月1日)より作成。,,,,,,,,,,
2) 面積は評価総地積(免税点未満を含む)。,,,,,,,,,,
3) 区部は区分所有に係る土地を除く。,,,,,,,,,,
4) 端数処理のため、各項の和と表示した総数は必ずしも一致しない。,,,,,,,,,,
Note: 1) Material prepared from taxation data (Jan. 1， 2023).,,,,,,,,,,
2) Total appraised area (including land under the tax exemption limit).,,,,,,,,,,
3) Ku area excludes land coming under condominium unit ownership.,,,,,,,,,,
4) Figures may not add up to the totals shown due to rounding of figures.,,,,,,,,,,
資料：都都市整備局都市づくり政策部広域調整課 「東京の土地(土地関係資料集)」 Source: Bureau of Urban Development， TMG,,,,,,,,,,
地域階層（0:区部・市部　1:区市）,,,,,,,,,,
（単位　面積　千m2）(Area in 1000 m2),,,,,,,,,,
