年次,Year,月次,Month,平均海面気圧 Average atmospheric pressure (sea level) (hPa),気温 Temperature／平均 Average (℃),気温 Temperature／最高気温平均 Average highs (℃) ,気温 Temperature／最低気温平均 Average lows (℃),湿度 Humidity／平均 Average (%),湿度 Humidity／最小湿度 Minimum humidity／湿度 Humidity (%),湿度 Humidity／最小湿度 Minimum humidity／年／月／日 Year／Month／Date,平均雲量 Average amount of clouds (0-10),日照 Sunshine／日照時間 Duration of sunshine (hour),日照 Sunshine／日照率 Percentage of sunshine (%),風速 Wind speed／平均 Average (m／s),風速 Wind speed／最大風速 Maximum wind speed／風速 Speed (m／s),風速 Wind speed／最大風速 Maximum wind speed／方向 Direction,風速 Wind speed／最大風速 Maximum wind speed／年／月／日 Year／Month／Date,降水 Precipitation／総数 Total precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／降水量 Precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／年／月／日 Year／Month／Date,降水 Precipitation／日数 Number of days／≧0.5mm,降水 Precipitation／日数 Number of days／≧1.0mm,降水 Precipitation／日数 Number of days／≧10mm,降水 Precipitation／日数 Number of days／≧30mm,天気日数 Weather days／快晴 Clear,天気日数 Weather days／曇天 Cloudy,天気日数 Weather days／雨 Rainy,天気日数 Weather days／雪 Snowy,天気日数 Weather days／積雪 Snow cover,天気日数 Weather days／霧 Fog,天気日数 Weather days／雷 Thunder storm,天気日数 Weather days／不照 No sunshine,天気日数 Weather days／風速10m以上 Maximum wind speed 10m／s or more,地震回数（震度1以上） Earthquakes on record (seismic intensity of one or greater),,
昭和25,1950,総数,Total,1013.6,15.1,19.9,11.4,72,…,…,6.3,1937.4,44,…,…,…,…,1951.7,151.3,1950-07-29,139,123,55,18,…,…,139,14,12,32,14,54,…,54,,
昭和30,1955,総数,Total,1013.6,15.5,20.2,11.7,70,…,…,6.2,2018.1,46,3.7,…,…,…,1553.9,106.2,1955-10-11,122,110,46,14,…,…,122,5,2,20,12,60,…,49,,
昭和35,1960,総数,Total,1013.8,15.4,20.1,11.6,67,…,…,6.2,2122.2,48,3.6,…,…,…,1281.9,83.9,1960-09-01,106,98,42,12,…,…,106,3,-,26,12,55,…,41,,
昭和40,1965,総数,Total,1013.1,14.6,18.7,10.8,64,12,1965-03-15,6.2,2103.3,47,3.8,24.7,南 S,1965-09-18,1596,118,1965-05-27,112,99,43,16,46,124,112,9,2,26,11,51,66,19,,
昭和45,1970,総数,Total,1014.5,15.2,19.3,11.5,64,14,1970-01-17,6.4,1790.7,40,3.7,15.5,南南西 SSW,1970-04-17,1122,73,1970-07-01,101,86,35,10,47,154,101,11,4,19,7,86,50,23,,
昭和50,1975,総数,Total,1013.8,15.6,19.5,12.2,64,14,1975-01-18,6.4,2018.9,46,3,18.4,南南西・南 SSW・S,1975-04-06・1975-08-23,1540.5,93,1975-07-04,108,93,44,17,50,138,108,8,3,6,9,61,29,32,,
昭和55,1980,総数,Total,1013.3,15.4,19.2,12,63,12,1980-05-11,6.3,1901.4,43,3.5,16.1,北北西 NNW,1980-03-08,1577.5,65.5,1980-09-10,125,115,55,14,53,150,125,7,4,1,10,70,39,31,,
昭和60,1985,総数,Total,1014.5,15.7,19.3,12.3,67,14,1985-01-14,6.5,1998.3,45,3.4,16.7,南 S,1985-07-01,1516.5,96,1985-06-30,122,103,45,15,44,160,122,6,1,7,8,74,20,35,,
平成2,1990,総数,Total,1014.8,17,20.6,13.8,62,15,1990-04-30,6.2,1940.7,44,3.6,14.4,南 S,1990-09-20,1512.5,123.5,1990-09-30,119,106,40,13,48,131,119,10,6,1,15,67,37,37,,
平成7,1995,総数,Total,1013.2,16.3,20.1,13,60,16,1995-01-31・1995-04-24・1995-11-18,6.2,2028.1,46,3.3,16,北 N,1995-09-17,1220,93.5,1995-09-17,101,94,40,10,47,140,101,5,2,5,11,45,14,44,,
平成12,2000,総数,Total,1013.4,16.9,20.6,13.6,60,10,2000-01-21,6.4,1962.5,44,3.2,13.8,北西 NW,2000-03-20,1603,115,2000-07-08,112,96,52,13,33,131,112,7,2,1,22,60,18,27,,
平成17,2005,総数,Total,1012.8,16.2,20,12.8,57,9,2005-03-21,6.4,1965,44,3.4,13.4,北東 NE,2005-08-26,1482,74.5,2005-07-26,103,94,49,14,39,138,103,14,5,-,12,54,26,85,,
平成22,2010,総数,Total,1014.1,16.9,20.7,13.6,61,11,2010-01-13・2010-03-21・2010-11-9,6.8,1987,45,2.9,14.6,南 S,2010-03-21,1679.5,102,2010-09-08,125,111,42,16,34,151,125,14,6,1,11,61,13,48,,
平成27,2015,総数,Total,1014.1,16.4,20.8,12.8,68,12,2015-02-13・2015-05-11,6.8,1966.6,44,2.8,11,北北西・南南西 NNW・SSW,2015-02-15・2015-12-11,1781.5,156.5,2015-09-09,129,115,51,17,39,165,129,11,2,-,13,67,14,66,,
平成30,2018,総数,Total,1014.1,16.8,21.2,13,70,14,2018-02-07,6.7,2112.2,48,3,18.2,南 S,2018-10-01,1445.5,58,2018-03-09,116,103,44,17,34,156,116,11,10,-,14,47,15,64,,
平成31・令和元年,2019,総数,Total,1014,16.5,20.9,12.8,70,15,2019-05-24,6.8,1909,43,2.9,17.8,南南東 SSE,2019-10-12,1874,209.5,2019-10-12,131,111,45,14,35,153,131,6,3,1,12,68,10,52,,
令和2,2020,総数,Total,1013.9,16.5,21,12.8,71,15,2020-12-17,6.8,1889.5,43,2.8,13.1,北西 NW,2020-03-16,1590,132,2020-04-13,135,108,42,16,29,156,135,6,1,-,17,64,12,65,,
令和3,2021,総数,Total,1014.4,16.6,21.3,12.8,69,10,2021-04-22,6.4,2089.8,47,2.7,12.4,南 S,2021-08-09,2052.5,138.5,2021-08-15,124,107,49,24,45,145,124,2,-,1,15,54,11,70,,
令和4,2022,総数,Total,1014.1,16.4,21.1,12.7,70,15,2022-02-25・2022-12-23,6.6,2028.9,46,2.7,9.5,南東・南南東・南 SE・SSE・S,2022-05-27・2022-09-19・2022-09-20,1615.5,112.5,2022-09-24,125,109,40,17,38,151,125,10,5,-,11,51,-,74,,
令和5,2023,総数,Total,1014.5,17.6,22.5,13.7,68,15,2023-04-13,6.1,2259.2,51,2.8,12.5,南南西 SSW,2023-04-12,1396.5,168.5,2023-06-02,100,90,41,14,52,125,100,2,1,2,13,39,7,52,,
令和6,2024,総数,Total,1013.9,17.6,22.2,13.8,70,14,2024-03-16,6.4,2100.2,47,2.7,13.2,北西 NW,2024-02-27,1926,98,2024-06-18,125,105,51,24,46,139,125,5,5,-,25,43,13,81,,
令和6,2024,1,Jan.,1016.6,7.1,11.8,2.9,54,18,2024-1-24・2024-1-25,3.7,198.5,64,2.6,10.3,北西 NW,2024-01-16,36,31.5,2024-01-21,3,3,1,1,12,3,3,1,-,-,1,1,1,2,,
令和6,2024,2,Feb.,1020.3,8,12.5,4.1,63,19,2024-02-14,6.7,152.4,49,2.9,13.2,北西 NW,2024-02-27,78.5,35,2024-02-05,10,9,1,1,2,13,10,3,4,-,1,7,3,10,,
令和6,2024,3,Mar.,1013.4,9.6,14.8,5.1,59,14,2024-03-16,5.3,201.6,55,3.1,12.9,北西 NW,2024-03-20,188.5,45,2024-03-26,12,11,7,2,6,10,12,1,1,-,1,4,3,15,,
令和6,2024,4,Apr.,1014.5,17.1,21.8,13.1,72,23,2024-4-10・2024-4-20,7.6,150.3,38,2.7,11,南 S,2024-04-09,115.5,55.5,2024-04-09,13,11,3,1,1,14,13,-,-,-,-,6,3,7,,
令和6,2024,5,May,1013.5,20,24.8,15.6,72,19,2024-05-04,7.1,185.5,43,3.3,10.2,南 S,2024-05-28,201.5,58.5,2024-05-13,12,11,6,3,5,16,12,-,-,-,-,4,2,3,,
令和6,2024,6,June,1009.5,23.1,27.7,19.3,79,32,2024-06-08,7.7,158.1,36,2.6,8,南東 SE,2024-06-05,350,98,2024-06-18,11,9,7,4,1,17,11,-,-,-,2,3,-,7,,
令和6,2024,7,July,1007.9,28.7,33.5,25,78,40,2024-07-29,8.3,199.6,45,2.6,10.7,西北西 WNW,2024-07-24,206.5,45,2024-07-20,15,10,8,3,1,20,15,-,-,-,7,2,1,8,,
令和6,2024,8,Aug.,1007.6,29,33.6,25.7,79,45,2024-8-10・2024-8-20,7.1,189.8,45,3,9.5,西北西 WNW,2024-08-19,381,90,2024-08-16,12,11,9,4,1,12,12,-,-,-,10,2,-,9,,
令和6,2024,9,Sept.,1013.2,26.6,30.9,23.5,81,51,2024-09-24,6.8,160.8,43,2.9,9,南 S,2024-09-02,111.5,35.5,2024-09-01,12,11,2,2,1,11,12,-,-,-,3,2,-,3,,
令和6,2024,10,Oct.,1018.7,20.6,24.5,17.4,79,39,2024-10-31,7.9,111.7,32,2.4,7.3,南 S,2024-10-07,174.5,53.5,2024-10-09,14,12,5,2,1,15,14,-,-,-,-,9,-,5,,
令和6,2024,11,Nov.,1018.1,13.7,17.8,10.2,69,17,2024-11-28,5.4,158.1,51,2.3,8.3,北西 NW,2024-11-07,82,33.5,2024-11-02,10,7,2,1,5,7,10,-,-,-,-,3,-,4,,
令和6,2024,12,Dec.,1013.6,8.1,13.2,3.8,54,19,2024-12-23,3.2,233.8,77,2.3,8.2,南南西 SSW,2024-12-21,0.5,0.5,2024-12-19,1,-,-,-,10,1,1,1,-,-,-,-,-,8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和6年）TOKYO STATISTICAL YEARBOOK ( 2024 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-6 気象概況 1-6 CLIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表の気圧、気温、湿度の平均値は1～24時毎正時の24回平均、雲量は 3、9、15、21時の4回平均である。最高気温平均と最低気温平均は毎日の最高、最低の1カ月の平均値を示し、平均風速は毎10分の144回平均 （ただし平成20年6月までは24時間の全風程から求めた)、天気日数における「快晴日」は日平均雲量1.5未満、「曇天日」は日平均雲量8.5以上をいう。雲量は雲が全天を占める時を10とし全天に対する雲の占める比である。各年の雪日数及び積雪日数は、前年8月から当年7月までの期間で算出している。数値は過去に遡って修正される場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
