観測地,Observatory,令和2年 2020 平均 Average,令和3年 2021 平均 Average,令和4年 2022 平均 Average,令和5年 2023 平均 Average,令和6年 2024 平均 Average,令和6年 2024 平均 Average／1月 Jan.,令和6年 2024 平均 Average／2月 Feb.,令和6年 2024平均 Average／3月 Mar.,令和6年 2024 平均 Average／4月 Apr.,令和6年 2024 平均 Average／5月 May,令和6年 2024 平均 Average／6月 June,令和6年 2024 平均 Average／7月 July,令和6年 2024 平均 Average／8月 Aug.,令和6年 2024 平均 Average／9月 Sept.,令和6年 2024 平均 Average／10月 Oct.,令和6年 2024 平均 Average／11月 Nov.,令和6年 2024 平均 Average／12月 Dec.
東京,Tokyo,16.5,16.6,16.4,17.6,17.6,7.1,8,9.6,17.1,20,23.1,28.7,29,26.6,20.6,13.7,8.1
江戸川臨海,Edogawarinkai,16.5,16.7,16.3,17.6,17.6,7.5,8,9.6,16.7,19.6,22.9,28,29,26.5,20.8,14.2,8.7
練馬,Nerima,16.4,16.3,15.9,17.1,17.2,6.1,7.3,9.1,16.8,19.7,23,28.6,29,26.3,20,13,6.9
府中,Fuchu,15.9,15.9,15.7,16.9,17,5.9,7.2,8.8,16.5,19.4,22.8,28.5,28.8,26.2,19.8,13.1,7
八王子,Hachioji,15.4,15.3,15.2,16.3,16.4,4.9,6.6,8.2,16.1,19,22.5,28,28.5,25.8,19.4,12.4,5.8
青梅,Ome,15.1,15,15,16.1,16.2,4.8,6.4,7.9,15.8,18.8,22.3,27.7,28.2,25.5,19,12.1,5.4
小河内,Ogochi,12.9,12.8,12.5,13.6,13.8,3.2,4.2,5.6,13.5,16.4,19.5,24.6,25.3,22.8,16.7,10.1,3.9
羽田,Haneda,17.2,17.2,16.9,18.2,18.2,8,8.7,10.2,16.9,20.1,23.3,28.7,29.4,27,21.4,14.9,9.4
大島,Oshima,17.4,17.3,17,17.9,18.2,9.6,9.8,10.9,16.5,19,22.1,27.4,28.3,26.2,21.4,15.8,10.8
新島,Niijima,18.6,18.4,18.3,19,19.3,11.1,11.6,12.2,17.6,19.8,22.9,28,28.7,27,23,17.9,11.7
三宅島,Miyakejima,18.9,18.7,18.6,19.1,19.6,11.9,12.4,12.6,17.9,20.2,22.8,28.1,28.1,26.6,23.4,18.7,12.6
八丈島,Hachijojima,18.8,18.4,18.4,18.9,19.3,11.7,12.6,12.7,17.7,19.9,22.1,27.2,27.6,26.2,23.5,18.4,12.3
父島,Chichijima,24.2,23.9,23.9,23.8,24.3,18.5,19.9,19.6,23.1,25,27.1,29.2,28.6,28.1,27.8,25.1,20.1
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和6年）TOKYO STATISTICAL YEARBOOK ( 2024 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,
1-7 観測地別平均気温 1-7 AVERAGE TEMPERATURE BY OBSERVATORY,,,,,,,,,,,,,,,,,,
この表の観測地のうち、東京とは東京管区気象台をいい、その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,,,,,
資料：気象庁「気象観測統計（過去の気象データ）」 Source: Japan Meteorological Agency,,,,,,,,,,,,,,,,,,
（単位　℃）(In ℃),,,,,,,,,,,,,,,,,,
