観測地,Observatory,マーク Mark,総数 Total,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月  Oct.,11月 Nov.,12月 Dec.
東京,Tokyo,,1926,36,78.5,188.5,115.5,201.5,350,206.5,381,111.5,174.5,82,0.5
江戸川臨海,Edogawarinkai,1),1397,37.5,58,153.5,90.5,153.5,277,153.5,173.5,94,128,78,0
練馬,Nerima,1),1776.5,30.5,64,171.5,94.5,176.5,270,254,444.5,33.5,151.5,86,0
世田谷,Setagaya,1),1799,36,78,172,117.5,211,307.5,114.5,461,48,156,97.5,0
府中,Fuchu,1),1746.5,39,70,204,97.5,164,283.5,156,436.5,37.5,172.5,86,0
八王子,Hachioji,1),2036.5,41.5,74.5,182.5,106,168,304,132.5,659,129,161.5,78,0
小沢,Ozawa,1),1667.5,34.5,81,147,95.5,196.5,248,127.5,413.5,93.5,151.5,79,0
青梅,Ome,1),1658,29.5,61.5,155.5,79.5,160,228,96,563.5,56.5,162,66,0
小河内,Ogochi,1),1598,32.5,74,134.5,96,203.5,247.5,115,362.5,100.5,140.5,91.5,0
羽田,Haneda,1),1636,39.5,64,172.5,97.5,167.5,401.5,131.5,229.5,92,156,84.5,0
大島,Oshima,,2967.5,59.5,310.5,394,308,313.5,427,141.5,236,253.5,351,169.5,3.5
新島,Niijima,,2697.5,125,261.5,340.5,283.5,308.5,394,96.5,178,193,179,274,64
三宅島,Miyakejima,,3322.5,136.5,344,430.5,368,404.5,381.5,73.5,283,309.5,318.5,212,61
八丈島,Hachijojima,,3972.5,194,346,333,420.5,305.5,377,27.5,157,613,561,548.5,89.5
父島,Chichijima,,1034,23.5,71,25,28,14,156,20.5,184.5,138,84,144,145.5
,,,,,,,,,,,,,,,
東京都統計年鑑（令和6年）TOKYO STATISTICAL YEARBOOK ( 2024 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,
1-8 地域気象観測所降水量（令和6年） 1-8 PRECIPITATION AT LOCAL METEOROLOGICAL STATIONS ( 2024 ),,,,,,,,,,,,,,,
この表の観測地のうち、東京とは東京管区気象台をいい、その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,,
注 1) 0.5mmに満たない数値は実数が皆無である場合も含め「0.0」と表記している。,,,,,,,,,,,,,,,
"Note: 1) Measurements less than 0.5mm， including instances where no precipitation was recorded， are listed as ""0.0"".",,,,,,,,,,,,,,,
資料：気象庁「気象観測統計（過去の気象データ）」 Source: Japan Meteorological Agency,,,,,,,,,,,,,,,
 （単位　mm）(In mm）,,,,,,,,,,,,,,,
