年次,Year,霜 Frost／初霜 First frost (年(Year)／月(Month)／日(Date)) 1),霜 Frost／終霜 Last frost (年(Year)／月(Month)／日(Date)) 1),雪 Snow／初雪 First snow (年(Year)／月(Month)／日(Date)) 1),雪 Snow／終雪 Last snow (年(Year)／月(Month)／日(Date)) 1),結氷 Freezing／初結氷 First freezing (年(Year)／月(Month)／日(Date)) 1),結氷 Freezing／終結氷 Last freezing (年(Year)／月(Month)／日(Date)) 1)
平成12,2000,1999-12-13,2000-03-27,2000-01-12,2000-02-26,1999-12-21,2000-03-14
平成13,2001,2000-12-09,2001-04-01,2001-01-07,2001-03-31,2000-12-07,2001-04-01
平成14,2002,2001-12-20,2002-02-12,2001-12-21,2002-02-10,2001-12-11,2002-02-16
平成15,2003,2002-12-11,2003-02-02,2002-12-09,2003-02-24,2002-12-11,2003-03-12
平成16,2004,2003-12-22,2004-02-08,2003-12-27,2004-03-07,2004-01-12,2004-03-08
平成17,2005,2004-12-30,2005-03-15,2004-12-29,2005-03-14,2004-12-30,2005-03-14
平成18,2006,2005-12-14,2006-03-04,2005-12-11,2006-03-14,2005-12-14,2006-03-14
平成19,2007,2007-01-01,2007-01-08,2007-03-16,2007-04-04,2007-01-01,2007-02-25
平成20,2008,2008-01-02,2008-02-05,2008-01-16,2008-02-10,2008-01-02,2008-02-25
平成21,2009,2008-12-15,2009-02-18,2009-01-09,2009-03-26,2008-12-27,2009-02-22
平成22,2010,2009-12-19,2010-03-30,2010-01-12,2010-04-17,2009-12-19,2010-03-30
平成23,2011,2010-12-27,2011-03-18,2010-12-30,2011-03-07,2011-01-07,2011-03-04
平成24,2012,2011-12-11,2012-01-30,2012-01-20,2012-03-10,2011-12-26,2012-02-20
平成25,2013,2012-12-10,2013-02-26,2013-01-14,2013-02-19,2012-12-10,2013-02-26
平成26,2014,2013-12-15,2014-02-05,2013-12-20,2014-03-07,2013-12-29,2014-03-11
平成27,2015,2014-12-18,2015-02-10,2014-12-14,2015-04-08,2014-12-15,2015-03-11
平成28,2016,2016-01-08,2016-03-02,2016-01-12,2016-03-01,2016-01-13,2016-01-27
平成29,2017,2016-12-17,2017-03-16,2016-11-24,2017-02-24,2017-01-12,2017-02-22
平成30,2018,2017-12-10,2018-02-24,2017-12-31,2018-03-21,2017-12-18,2018-02-24
平成31・令和元,2019,2018-12-16,2019-02-02,2019-01-12,2019-02-15,2018-12-31,2019-02-10
令和2,2020,2019-12-08,2020-01-12,2020-01-04,2020-03-29,2020-02-06,2020-02-11
令和3,2021,2020-12-15,2021-01-13,2021-01-12,2021-01-28,2020-12-15,2021-02-28
令和4,2022,2021-12-15,2022-03-23,2021-12-26,2022-03-24,2021-12-19,2022-03-23
令和5,2023,2022-12-04,2023-02-06,2023-01-24,2023-02-10,2022-12-19,2023-02-26
令和6,2024,2023-12-02,2024-03-24,2024-01-13,2024-03-08,2023-12-22,2024-03-21
,,,,,,,
東京都統計年鑑（令和6年）TOKYO STATISTICAL YEARBOOK ( 2024 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,
1-9 季節現象 1-9 SEASONAL PHENOMENON,,,,,,,
注 1) 霜、雪、結氷は、前年8月1日から当年7月31日までの期間で算出している。,,,,,,,
Note: 1) The dates of frost， snow and freezing were derived for a year over the period from August 1 of the previous year to July 31 of that year.,,,,,,,
資料：東京管区気象台 Source: Tokyo Regional Headquarters， JMA,,,,,,,
