樹種,区分,樹高(m),枝張(m),幹周(cm）,行政区,種別,整理番号,路線名,通称道路名,経度,緯度
アオギリ,高木,6.5,2,78,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745072,35.623868
アオギリ,高木,7,2,68,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745307,35.623827
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745301,35.623872
アオギリ,高木,7.5,3,78,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745064,35.623938
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745295,35.623904
アオギリ,高木,6,1.5,28,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745294,35.623942
アオギリ,高木,7,2,70,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745054,35.624012
アオギリ,高木,5.5,1.5,21,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745045,35.624081
アオギリ,高木,6.5,2,23,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745279,35.624058
アオギリ,高木,4.5,1,23,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745039,35.624145
アオギリ,高木,5,1,22,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745263,35.62419
アオギリ,高木,4.5,1,19,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745017,35.624353
アオギリ,高木,7.5,2.5,98,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.74525,35.624313
アオギリ,高木,7.5,2.5,86,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745007,35.6244
アオギリ,高木,7,3,65,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744966,35.624738
アオギリ,高木,5.5,1,21,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744956,35.62481
アオギリ,高木,8.5,2,106,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745189,35.624767
アオギリ,高木,5.5,1.5,19,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744947,35.624875
アオギリ,高木,6.5,2.5,70,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744942,35.624914
アオギリ,高木,5.5,1,20,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745177,35.624858
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745172,35.624875
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745171,35.624888
アオギリ,高木,5.5,1,28,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.74517,35.624902
アオギリ,高木,5.5,1.5,60,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745161,35.624976
アオギリ,高木,5.5,1.5,62,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745133,35.625196
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745127,35.625233
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745124,35.625265
アオギリ,高木,4.5,1,17,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744865,35.625511
アオギリ,高木,5,2,68,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744855,35.625581
アオギリ,高木,6,2,71,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744847,35.625654
アオギリ,高木,7,2,70,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744838,35.625727
アオギリ,高木,5.5,1.5,34,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745066,35.625703
トキワマンサク,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745066,35.625726
アオギリ,高木,5.5,1,34,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745061,35.625743
アオギリ,高木,7,3,76,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744828,35.625805
アオギリ,高木,6.5,2.5,25,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744819,35.625876
アオギリ,高木,5.5,1,60,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745048,35.62585
アオギリ,高木,6,1,77,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745034,35.625968
トキワマンサク,中木,1.5,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745028,35.626002
アオギリ,高木,6.5,2,56,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744792,35.626079
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745025,35.626025
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745023,35.626048
アオギリ,高木,7.5,2.5,38,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744783,35.626149
アオギリ,高木,5,1,29,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745016,35.626095
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745014,35.626117
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745012,35.626133
アオギリ,高木,6,1.5,38,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745011,35.626148
アオギリ,高木,6.5,2.5,30,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744773,35.62622
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745006,35.626172
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745005,35.626184
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745004,35.626195
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745003,35.626207
アオギリ,高木,4.5,1,40,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745001,35.626217
アオギリ,高木,6.5,2,24,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744765,35.626293
アオギリ,高木,7,3,57,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744754,35.626376
アオギリ,高木,6.5,3,65,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744746,35.626439
マサキ,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.74975,35.625165
クスノキ,高木,11.5,8,192,港区,主要地方道,316,日本橋芝浦大森線,海岸通り,139.749752,35.625184
アオギリ,高木,5.5,1,25,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744977,35.626407
