name,type,height,perimeter,width,route,route_name,route_nickname,route_type,longitude,latitude
イチョウ,高木,8,76,2,3,世田谷町田線,鶴川街道,主要地方道,139.5909642,35.6334512
イチョウ,高木,6,27,2,3,世田谷町田線,鶴川街道,主要地方道,139.5908881,35.6335437
イチョウ,高木,9,102,2,3,世田谷町田線,鶴川街道,主要地方道,139.5908134,35.6335184
イチョウ,高木,9,87,2,3,世田谷町田線,鶴川街道,主要地方道,139.5906889,35.6333603
イチョウ,高木,6,26,1,3,世田谷町田線,鶴川街道,主要地方道,139.590493,35.6334221
イチョウ,高木,9,114,2,3,世田谷町田線,鶴川街道,主要地方道,139.5902225,35.633347
イチョウ,高木,6,51,1,3,世田谷町田線,鶴川街道,主要地方道,139.590189,35.63322
イチョウ,高木,7,63,2,3,世田谷町田線,鶴川街道,主要地方道,139.5901339,35.6332058
イチョウ,高木,9,102,2,3,世田谷町田線,鶴川街道,主要地方道,139.5900616,35.6333067
イチョウ,高木,7,93,2,3,世田谷町田線,鶴川街道,主要地方道,139.5900398,35.6331849
イチョウ,高木,9,116,2,3,世田谷町田線,鶴川街道,主要地方道,139.5899682,35.6332819
イチョウ,高木,9,102,2,3,世田谷町田線,鶴川街道,主要地方道,139.5899137,35.6331557
イチョウ,高木,9,103,2,3,世田谷町田線,鶴川街道,主要地方道,139.5897427,35.6332383
イチョウ,高木,9,139,2,3,世田谷町田線,鶴川街道,主要地方道,139.5896247,35.6330889
イチョウ,高木,9,121,2,3,世田谷町田線,鶴川街道,主要地方道,139.5896164,35.6332154
イチョウ,高木,9,87,2,3,世田谷町田線,鶴川街道,主要地方道,139.5894749,35.6331928
イチョウ,高木,9,91,2,3,世田谷町田線,鶴川街道,主要地方道,139.5894538,35.6330666
イチョウ,高木,9,102,2,3,世田谷町田線,鶴川街道,主要地方道,139.5893501,35.6330606
イチョウ,高木,9,111,2,3,世田谷町田線,鶴川街道,主要地方道,139.5893364,35.633174
イチョウ,高木,9,107,2,3,世田谷町田線,鶴川街道,主要地方道,139.5892512,35.6330453
イチョウ,高木,5,29,1.5,3,世田谷町田線,鶴川街道,主要地方道,139.5892083,35.6331538
イチョウ,高木,9,105,2,3,世田谷町田線,鶴川街道,主要地方道,139.5888508,35.6329904
イチョウ,高木,9,111,2,3,世田谷町田線,鶴川街道,主要地方道,139.5887161,35.6329709
イチョウ,高木,9,117,1.5,3,世田谷町田線,鶴川街道,主要地方道,139.5886939,35.6330831
イチョウ,高木,6,25,1,3,世田谷町田線,鶴川街道,主要地方道,139.5885904,35.6329501
イチョウ,高木,9,103,2,3,世田谷町田線,鶴川街道,主要地方道,139.5884124,35.632924
イチョウ,高木,9,99,1.5,3,世田谷町田線,鶴川街道,主要地方道,139.5883804,35.6330322
イチョウ,高木,6,31,1,3,世田谷町田線,鶴川街道,主要地方道,139.5883072,35.6329064
イチョウ,高木,9,103,1.5,3,世田谷町田線,鶴川街道,主要地方道,139.5882854,35.6330165
イチョウ,高木,6,27,1,3,世田谷町田線,鶴川街道,主要地方道,139.5882265,35.6328973
イチョウ,高木,6,32,2,3,世田谷町田線,鶴川街道,主要地方道,139.5881435,35.6329959
イチョウ,高木,6,24,2,3,世田谷町田線,鶴川街道,主要地方道,139.588059,35.632984
イチョウ,高木,9,93,2,3,世田谷町田線,鶴川街道,主要地方道,139.5879691,35.6329696
イチョウ,高木,6,23,1,3,世田谷町田線,鶴川街道,主要地方道,139.587907,35.6328497
イチョウ,高木,6,24,1,3,世田谷町田線,鶴川街道,主要地方道,139.5878618,35.6328435
イチョウ,高木,9,107,2,3,世田谷町田線,鶴川街道,主要地方道,139.5877649,35.6329428
イチョウ,高木,8,82,2,3,世田谷町田線,鶴川街道,主要地方道,139.5877493,35.6328279
イチョウ,高木,9,111,2,3,世田谷町田線,鶴川街道,主要地方道,139.587653,35.6329275
イチョウ,高木,6,24,1,3,世田谷町田線,鶴川街道,主要地方道,139.5876353,35.6328173
イチョウ,高木,9,66,2,3,世田谷町田線,鶴川街道,主要地方道,139.5875345,35.6328039
イチョウ,高木,9,123,2,3,世田谷町田線,鶴川街道,主要地方道,139.5874649,35.6329088
イチョウ,高木,9,93,2,3,世田谷町田線,鶴川街道,主要地方道,139.5872909,35.6328927
イチョウ,高木,6,25,1.5,3,世田谷町田線,鶴川街道,主要地方道,139.5872843,35.6327822
イチョウ,高木,9,98,2,3,世田谷町田線,鶴川街道,主要地方道,139.5872265,35.6328884
イチョウ,高木,6,28,1.5,3,世田谷町田線,鶴川街道,主要地方道,139.5871688,35.6327745
イチョウ,高木,6,23,1.5,3,世田谷町田線,鶴川街道,主要地方道,139.5870968,35.6327712
イチョウ,高木,6,30,1.5,3,世田谷町田線,鶴川街道,主要地方道,139.5870605,35.6328775
イチョウ,高木,9,100,2,3,世田谷町田線,鶴川街道,主要地方道,139.5870027,35.6327644
イチョウ,高木,6,28,1.5,3,世田谷町田線,鶴川街道,主要地方道,139.5869626,35.6328712
イチョウ,高木,9,68,2,3,世田谷町田線,鶴川街道,主要地方道,139.5868685,35.6327563
イチョウ,高木,9,110,2,3,世田谷町田線,鶴川街道,主要地方道,139.5868073,35.6327523
イチョウ,高木,9,98,2,3,世田谷町田線,鶴川街道,主要地方道,139.5867414,35.6328599
イチョウ,高木,9,114,2,3,世田谷町田線,鶴川街道,主要地方道,139.5866745,35.6327453
イチョウ,高木,9,103,2,3,世田谷町田線,鶴川街道,主要地方道,139.5865861,35.6327391
イチョウ,高木,9,117,2,3,世田谷町田線,鶴川街道,主要地方道,139.5865814,35.6328507
イチョウ,高木,9,102,2,3,世田谷町田線,鶴川街道,主要地方道,139.5865107,35.6327353
イチョウ,高木,9,105,2,3,世田谷町田線,鶴川街道,主要地方道,139.5865104,35.6328453
イチョウ,高木,9,88,2,3,世田谷町田線,鶴川街道,主要地方道,139.5864434,35.6327265
イチョウ,高木,6,27,1,3,世田谷町田線,鶴川街道,主要地方道,139.5863068,35.6328322
イチョウ,高木,9,73,2,3,世田谷町田線,鶴川街道,主要地方道,139.5862822,35.6327079
イチョウ,高木,9,101,2,3,世田谷町田線,鶴川街道,主要地方道,139.586214,35.6328276
イチョウ,高木,9,102,2,3,世田谷町田線,鶴川街道,主要地方道,139.5861629,35.6327063
イチョウ,高木,9,106,2,3,世田谷町田線,鶴川街道,主要地方道,139.5860584,35.6327076
イチョウ,高木,9,93,2,3,世田谷町田線,鶴川街道,主要地方道,139.5860537,35.6328181
イチョウ,高木,8,75,2,3,世田谷町田線,鶴川街道,主要地方道,139.5859806,35.632707
イチョウ,高木,8,89,2,3,世田谷町田線,鶴川街道,主要地方道,139.5859501,35.6328145
イチョウ,高木,9,101,2,3,世田谷町田線,鶴川街道,主要地方道,139.5858913,35.6327026
イチョウ,高木,8,57,2,3,世田谷町田線,鶴川街道,主要地方道,139.5854575,35.6326942
イチョウ,高木,9,99,2,3,世田谷町田線,鶴川街道,主要地方道,139.5853772,35.6328173
イチョウ,高木,9,108,2,3,世田谷町田線,鶴川街道,主要地方道,139.5853499,35.6327018
