category,subcategory,area_ha
Urban Planning Green Space,Urban Planning Park/Green Space,11202.5
Water & Canals,River/Canal,5710.2
Urban Planning Green Space,Greening-Mandated Zone,5675.8
Parks & Green Spaces,Municipal Park,4484.3
Urban Planning Green Space,Scenic District,3518.4
Parks & Green Spaces,Marine Park,3163.6
Farmland,Production Green Zone,3020.2
Public Facility Greenery,Public Facility Greenery,2935.1
Woodland,Woodland,2294.6
Parks & Green Spaces,Metropolitan Park,2063.2
Farmland,Farmland in Urbanization Control Area,1614.9
Urban Planning Green Space,Metro-Area Green Conservation Zone,1503.1
Protected Green Areas,TMG Conservation Area,846.8
Farmland,Residential-Convertible Farmland,723.9
Water & Canals,Lake/Marsh,571.4
Protected Green Areas,Agricultural Landscape District,366.2
Urban Planning Green Space,Special Green Conservation District,327.3
Parks & Green Spaces,Cemetery,325.9
Protected Green Areas,Citizens' Forest,278.5
Water & Canals,Waterworks/Irrigation,248.9
Urban Planning Green Space,District Facility,223.8
Public Housing Greenery,Public Rental Housing Greenery,185.5
Parks & Green Spaces,Quasi-Urban Park,179.7
Parks & Green Spaces,National Park,173.9
Parks & Green Spaces,National Garden,159.3
Parks & Green Spaces,Botanical/Zoo/Aquarium,157.3
Urban Planning Green Space,Green Space Agreement,76.6
Parks & Green Spaces,Japanese Garden,73.1
Farmland,Citizen Farm Plots,62.0
Parks & Green Spaces,Nature Park,54.4
Protected Green Areas,Preserved Forest,38.8
Water & Canals,Tidal Flat,16.3
Urban Planning Green Space,Major Public Facility,16.1
Farmland,TMG-Managed Agricultural Facility,11.1
Urban Planning Green Space,Citizen Green Space,5.5
